@user1	und	und	und
C'est	fr	fr	fr
ma	fr	fr	fr
perso	fr	fr	fr
préférée	fr	fr	fr
de	fr	fr	fr
Teen	fr	en	en
Titans	fr	en	en
Go	fr	en	en

@user1	und	und	und
Ce	fr	fr	fr
dessin	fr	fr	fr
animé	fr	fr	fr
est	fr	fr	fr
trop	fr	fr	fr
cool	fr	fr	fr
!	und	und	und

women	en	en	en
are	en	en	en
work	en	en	en
of	en	en	en
art	en	en	en
and	en	en	en
I	en	en	en
loooove	en	en	en
them	en	en	en

@user2	und	und	und
Thank	oth	en	en
you	en	en	en
too.	en	en	en
Xxx	oth	und	und

i'll	en	en	en
wait	en	en	en
for	en	en	en
some	en	en	en
sales	en	en	en
or	en	en	en
i'll	en	en	en
buy	en	en	en
it	en	en	en
in	en	en	en
instant	en	en	en
gaming	en	en	en
to	en	en	en
replenish	en	en	en

@user1	und	und	und
jajaja	es	es	es
hay	es	es	es
que	es	es	es
probarlo	es	es	es

@user2	und	und	und
Putain	fr	fr	fr
j’avais	fr	fr	fr
pas	fr	fr	fr
vu	fr	fr	fr
t’abuse,	fr	fr	fr
je	fr	fr	fr
vais	fr	fr	fr
voir	fr	fr	fr
que	fr	fr	fr
ça	fr	fr	fr
maintenant	fr	fr	fr

@user1	und	und	und
Le	fr	fr	fr
retour	fr	fr	fr
de	fr	fr	fr
l'horloge	fr	fr	fr
🥰	und	und	und

@user2	und	und	und
C’est	fr	fr	fr
relou	fr	fr	fr
à	fr	fr	fr
force	fr	fr	fr

@user2	und	und	und
Je	fr	fr	fr
recale	fr	fr	fr
pas	fr	fr	fr
méchamment	fr	fr	fr
mais	fr	fr	fr
je	fr	fr	fr
t’avoue	fr	fr	fr
que	fr	fr	fr
des	fr	fr	fr
fois	fr	fr	fr
j’ai	fr	fr	fr
la	fr	fr	fr
flemme	fr	fr	fr
parce	fr	fr	fr
que	fr	fr	fr
je	fr	fr	fr
sais	fr	fr	fr
très	fr	fr	fr
que	fr	fr	fr
ça	fr	fr	fr
va	fr	fr	fr
solder	fr	fr	fr
par	fr	fr	fr
un	fr	fr	fr
«	und	fr	fr
nan	fr	fr	fr
désolée	fr	fr	fr
»	und	fr	fr
mdr	fr	fr	fr

@user1	und	und	und
@user3	und	und	und
Que	fr	fr	fr
des	fr	fr	fr
idiotes.	fr	fr	fr
Qui	fr	fr	fr
font	fr	fr	fr
les	fr	fr	fr
militantes	fr	fr	fr
en	fr	fr	fr
semaine	fr	fr	fr
A	fr	fr	fr
pour	fr	fr	fr
des	fr	fr	fr
RT	fr	fr	fr

@user2	und	und	und
@user3	und	und	und
Merci	fr	fr	fr
je	fr	fr	fr
vois	fr	fr	fr
tout	fr	fr	fr

@user1	und	und	und
@user2	und	und	und
@user3	und	und	und
@user5	und	und	und
@user6	und	und	und
@user7	und	und	und
@user8	und	und	und
@user9	und	und	und
@user10	und	und	und
@user11	und	und	und
@user12	und	und	und
@user13	und	und	und
@user14	und	und	und
@user15	und	und	und
@user16	und	und	und
Thanks	en	en	en
you	en	en	en
Jet.	en	en	en
Appreciate	en	en	en
your	en	en	en
mentions	en	en	en
ftiend	en	en	en

@user13	und	und	und
@user1	und	und	und
@user2	und	und	und
@user3	und	und	und
@user4	und	und	und
@user5	und	und	und
@user6	und	und	und
@user7	und	und	und
@user8	und	und	und
@user9	und	und	und
@user10	und	und	und
@user12	und	und	und
@user14	und	und	und
@user15	und	und	und
Feliz	en	es	es
Noche	en	es	es
Marina	en	es	es
